Day,Month,Year,Time of Call,Incident Number,X Coordinate,Y Coordinate,Unitary Authority,Ward,Origin of Call,Incident Category,Property Category,Property Type,Is Primary Fire,Cause of Fire,Is Property Derelict?,Is Property Occupied at the Incident?,Property Normally Occupied?,Is Fire Confined to Chimney?,How Fire Was Discovered?,Main Cause of Fire,Ignition Source,Ignition Source Powered,Item First Damaged,Item Responsible for Spread of Fire,Main action by Other Than FRS,Main Action by FRS,Special Service Type,Road Traffic Collision,False Alarm Reason,Victims Involved?,Were Alarm Systems Present?,No. of fatalities,No. of fire fatalities,No. of injuries,No. of rescues
10,July,2014,15:09:06,006133-10072014,361***,173***,BRISTOL,LAWRENCE HILL,Person (mobile),False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > BBQ,no,,,,,
10,July,2014,14:38:57,006126-10072014,359***,172***,BRISTOL,CABOT,Person (land line),Special Service,NonResidential,Building > Non Residential > Entertainment and culture > Museum,,,,,,,,,,,,,,,"No action (not false alarm), Service not required",no,,no,,,,,
10,July,2014,17:18:41,006154-10072014,364***,173***,S GLOS,HANHAM,Police,Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Grassland, pasture, grazing etc",no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
10,July,2014,19:35:58,006156-10072014,352***,178***,BRISTOL,AVONMOUTH,Other,False Alarm,RoadVehicle,Road Vehicle > Other,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,
10,July,2014,20:08:01,006161-10072014,365***,175***,S GLOS,STAPLE HILL,Person (mobile),False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
10,July,2014,19:48:46,006157-10072014,361***,175***,BRISTOL,LOCKLEAZE,Person (land line),Fire,OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Deliberate – others property,no,,,,,,,,,,,,,no,,no,,,,,
10,July,2014,20:08:11,006160-10072014,368***,154***,BANES,WESTFIELD,Person (mobile),Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
10,July,2014,20:34:34,006163-10072014,358***,167***,BRISTOL,WHITCHURCH PARK,Person (land line),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Hedge",no,Deliberate – others property,no,,,,,,,,,,,,,no,,no,,,,,
10,July,2014,22:04:41,006167-10072014,361***,179***,S GLOS,STOKE GIFFORD,Person (mobile),Fire,Outdoor,Outdoor > Other outdoors (including land) > Wasteland,no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
10,July,2014,22:07:11,006168-10072014,366***,174***,S GLOS,KINGS CHASE,Person (land line),False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
11,July,2014,00:36:24,006177-11072014,343***,170***,N SOM,YATTON,Ambulance,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,
10,July,2014,23:05:51,006170-10072014,333***,159***,N SOM,WESTON-SUPER-MARE SOUTH,Person (mobile),Fire,Dwelling,Building > Dwelling > House - single occupancy,yes,Deliberate – own property,no,yes,Yes - occupied,no,Person running call,Deliberate;  – own property: Heat source and combustibles brought together deliberately,Smoking Related -> Cigarette lighter ,Not applicable,"Foam, rubber, plastic -> Plastic – raw material only",Clothing/Textiles  -> Other textiles,Water from bucket/container,None -> No firefighting,,no,,no,yes,,,,
11,July,2014,00:00:15,006176-11072014,355***,179***,BRISTOL,KINGSWESTON,AFA from call centre,Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Stacked/baled crop (incl manure heap)",yes,Deliberate – others property,no,,,,Automatic alarm system,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Smoking Related -> Smoking materials ,Not applicable,Vegetation -> Straw/Stubble,Vegetation -> Straw/Stubble,Water from garden hose,,,no,,no,,,,,
11,July,2014,00:56:00,006178-11072014,372***,165***,BANES,TWERTON,Person (mobile),Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,01:23:36,006179-11072014,357***,173***,BRISTOL,CLIFTON EAST,Person (land line),False Alarm,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
11,July,2014,06:22:20,006183-11072014,363***,174***,BRISTOL,ST GEORGE WEST,Person (land line),False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,
11,July,2014,06:58:58,006184-11072014,360***,187***,S GLOS,SEVERN,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
11,July,2014,07:08:48,006185-11072014,358***,163***,BANES,CHEW VALLEY NORTH,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Testing,no,,,,,
11,July,2014,06:12:24,006181-11072014,364***,176***,S GLOS,DOWNEND,Ambulance,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,1,0
11,July,2014,07:12:54,006186-11072014,361***,184***,S GLOS,BRADLEY STOKE BOWSLAND,Person (mobile),False Alarm,NonResidential,Building > Non Residential > Offices and call centres > Call Centre,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
11,July,2014,07:38:55,006187-11072014,363***,176***,BRISTOL,EASTVILLE,Person (mobile),False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
11,July,2014,09:16:50,006192-11072014,358***,170***,BRISTOL,BEDMINSTER,Person (land line),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Grassland, pasture, grazing etc",no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,09:01:26,006188-11072014,362***,179***,S GLOS,WINTERBOURNE,Ambulance,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make scene safe",yes,,yes,,0,0,1,0
11,July,2014,09:35:33,006194-11072014,338***,162***,N SOM,BANWELL AND WINSCOMBE,Person (mobile),False Alarm,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,
11,July,2014,09:56:04,006199-11072014,365***,156***,BANES,PAULTON,Person (mobile),Special Service,RoadVehicle,Road Vehicle > Bus/coach,,,,,,,,,,,,,,,"Other Transport incident, Release of person/s",no,,no,,,,,
11,July,2014,11:06:51,006200-11072014,377***,159***,BANES,BATHAVON SOUTH,Police,Special Service,Outdoor,Outdoor > Other outdoors (including land) > Human harm outdoors,,,,,,,,,,,,,,,"Hazardous Materials incident, Class 2: Gases, No containment required",no,,no,,,,,
11,July,2014,11:26:03,006201-11072014,363***,181***,S GLOS,BRADLEY STOKE BAILEYS COURT,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Education > Infant/primary school,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Water intrusion,no,,,,,
11,July,2014,11:39:38,006202-11072014,364***,170***,BANES,KEYNSHAM NORTH,Person (mobile),False Alarm,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Vehicle,no,,,,,
11,July,2014,11:55:46,006205-11072014,359***,173***,BRISTOL,CABOT,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
11,July,2014,12:01:13,006206-11072014,371***,183***,S GLOS,YATE WEST,Person (mobile),Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Effecting entry/exit, For child",no,,yes,,0,0,0,1
11,July,2014,12:40:42,006209-11072014,359***,172***,BRISTOL,LAWRENCE HILL,Person (mobile),False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other cooking,no,,,,,
11,July,2014,12:49:06,006210-11072014,366***,176***,S GLOS,RODWAY,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
11,July,2014,13:06:17,006211-11072014,364***,178***,S GLOS,WINTERBOURNE,Person (mobile),False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Hedge",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Reported incident/Location not found,no,,,,,
11,July,2014,12:18:52,006208-11072014,358***,170***,BRISTOL,BISHOPSWORTH,Person (mobile),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Grassland, pasture, grazing etc",no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,14:32:05,006212-11072014,365***,174***,S GLOS,KINGS CHASE,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,
11,July,2014,14:50:31,006213-11072014,353***,177***,BRISTOL,AVONMOUTH,Police,False Alarm,RoadVehicle,Road Vehicle > Motorcycle,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,
11,July,2014,14:52:32,006214-11072014,337***,163***,N SOM,WESTON-SUPER-MARE SOUTH WORLE,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
11,July,2014,15:57:30,006219-11072014,360***,173***,BRISTOL,LAWRENCE HILL,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Damaged,no,,,,,
10,July,2014,15:35:32,006138-10072014,373***,166***,BANES,NEWBRIDGE,Person (mobile),Fire,Dwelling,Building > Dwelling > House - single occupancy,yes,Accidental,no,yes,Yes - occupied,no,Person running call,Other,Not known,Not known,Not known,Not known,None,,,no,,yes,don't know,0,0,3,0
11,July,2014,16:55:46,006223-11072014,363***,174***,BRISTOL,ST GEORGE WEST,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor structures > Fence,no,Deliberate – others property,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,17:58:44,006226-11072014,359***,172***,BRISTOL,LAWRENCE HILL,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Accidental,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,16:53:00,006222-11072014,375***,178***,S GLOS,BOYD VALLEY,Police,Special Service,RoadVehicle,Road Vehicle > Caravan on tow,,,,,,,,,,,,,,,"RTC, Advice only",yes,,no,,,,,
11,July,2014,17:08:54,006224-11072014,357***,173***,BRISTOL,CLIFTON,Police,Special Service,Outdoor,Outdoor > Other outdoors (including land) > Human harm outdoors,,,,,,,,,,,,,,,"Other rescue/release of persons, From height e.g. pylon crane, roof or ledge",no,,yes,,1,0,0,0
11,July,2014,18:27:53,006227-11072014,355***,180***,S GLOS,ALMONDSBURY,Person (mobile),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Hedge",no,Accidental,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,18:38:40,006228-11072014,364***,177***,BRISTOL,FROME VALE,Person (mobile),Fire,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > Up to 2 storeys,yes,Accidental,no,yes,Yes - occupied,no,Person running call,Accidental;  Cooking - chip pan/deep fat fryer,Cooking appliance -> Cooker incl oven,Electric,Structural/Fixtures/Fitting s – Internal -> Other,Other,Removal from heat source,None -> No firefighting,,no,,no,no,,,,
11,July,2014,19:16:20,006230-11072014,363***,170***,BRISTOL,BRISLINGTON EAST,Other,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Other Transport incident, Make scene safe",no,,no,,,,,
11,July,2014,19:00:33,006229-11072014,366***,174***,S GLOS,KINGS CHASE,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
11,July,2014,20:06:55,006233-11072014,360***,179***,S GLOS,FILTON,Person (mobile),Fire,Outdoor,Outdoor > Other outdoors (including land) > Highway/road surface/pavement,no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,20:47:40,006234-11072014,361***,183***,S GLOS,BRADLEY STOKE BOWSLAND,Person (land line),False Alarm,NonResidential,Building > Non Residential > Food and Drink > Pub/wine bar/bar,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
11,July,2014,21:43:47,006256-11072014,357***,168***,BRISTOL,BISHOPSWORTH,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor equipment and machinery > Garden equipment,yes,Deliberate – others property,no,,,,Person running call,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Smoking Related -> Cigarette lighter ,Not applicable,"Explosives, gas, chemicals -> Petrol/Oil products","Explosives, gas, chemicals -> Petrol/Oil products",None,Small means -> Water – from bucket/containers,,no,,no,,,,,
11,July,2014,21:45:33,006257-11072014,359***,173***,BRISTOL,CABOT,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor structures > Wheelie bin,no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,21:06:01,006235-11072014,372***,178***,S GLOS,BOYD VALLEY,Person (mobile),Fire,RoadVehicle,Road Vehicle > Car,yes,Accidental,no,,,,Person running call,"Accidental;  Overheating, unknown cause",Not known,Not known,Not known,Structural/Fixtures/Fitting s – Internal -> Internal fittings,None,,,no,,no,,,,,
11,July,2014,21:46:39,006258-11072014,363***,176***,BRISTOL,EASTVILLE,Person (mobile),Fire,NonResidential,Building > Non Residential > Other buildings/use not known,yes,Deliberate – others property,no,no,No - unoccupied permanently (vacant),no,Person running call,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Matches and candles -> Matches ,Not applicable,Rubbish/Waste/Recycling -> Rubbish/Waste material,Rubbish/Waste/Recycling -> Rubbish/Waste material,Water from bucket/container,,,no,,no,no,,,,
11,July,2014,22:45:32,006261-11072014,364***,178***,S GLOS,WINTERBOURNE,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,
11,July,2014,23:12:20,006262-11072014,367***,177***,S GLOS,SISTON,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Deliberate – others property,no,,,,,,,,,,,,,no,,no,,,,,
11,July,2014,23:16:23,006263-11072014,359***,173***,BRISTOL,CABOT,Person (land line),False Alarm,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
11,July,2014,21:55:45,006260-11072014,355***,158***,BANES,MENDIP,Ambulance,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,0,1
12,July,2014,00:16:46,006264-12072014,361***,174***,BRISTOL,EASTON,Person (land line),False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
12,July,2014,00:44:59,006266-12072014,362***,167***,BANES,PUBLOW AND WHITCHURCH,Person (land line),False Alarm,Dwelling,Not known > False Alarm - Property not found,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,
12,July,2014,00:57:21,006267-12072014,358***,181***,S GLOS,ALMONDSBURY,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Entertainment and culture > Other entertainment venue,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,
12,July,2014,01:12:53,006269-12072014,364***,178***,S GLOS,WINTERBOURNE,Person (land line),False Alarm,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,
12,July,2014,01:33:17,006270-12072014,358***,174***,BRISTOL,CABOT,Person (mobile),False Alarm,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,
12,July,2014,01:58:37,006271-12072014,332***,162***,N SOM,WESTON-SUPER-MARE WEST,Person (mobile),False Alarm,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > Up to 2 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,
12,July,2014,02:11:31,006272-12072014,359***,172***,BRISTOL,CABOT,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Entertainment and culture > Art Gallery,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
12,July,2014,02:31:02,006274-12072014,359***,174***,BRISTOL,ASHLEY,Person (land line),False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,
12,July,2014,03:11:02,006277-12072014,360***,182***,S GLOS,PATCHWAY,Person (mobile),Fire,Outdoor,Outdoor > Other outdoors (including land) > Highway/road surface/pavement,no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
12,July,2014,03:34:06,006278-12072014,358***,176***,BRISTOL,HENLEAZE,Person (mobile),Special Service,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Effecting entry/exit, For person in distress",no,,no,,,,,
12,July,2014,06:05:41,006280-12072014,365***,173***,S GLOS,WOODSTOCK,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Education > Infant/primary school,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
12,July,2014,11:16:26,006287-12072014,358***,172***,BRISTOL,CABOT,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,
12,July,2014,11:58:39,006300-12072014,360***,172***,BRISTOL,LAWRENCE HILL,Person (land line),False Alarm,Outdoor,Outdoor > Other outdoors (including land) > Wasteland,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Bonfire,no,,,,,
12,July,2014,11:39:31,006289-12072014,342***,171***,N SOM,GORDANO,Person (mobile),Fire,RoadVehicle,Road Vehicle > Car,yes,Accidental,no,,,,Person running call,Accidental;  Fault in equipment or appliance ,Vehicles only -> Electrical fault ,Electric,Structural/Fixtures/Fitting s – Internal -> Wiring insulation,Structural/Fixtures/Fitting s – Internal -> Wiring insulation,None,,,no,,no,,,,,
12,July,2014,12:12:53,006301-12072014,372***,182***,S GLOS,YATE NORTH,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Retail > Large supermarket,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
12,July,2014,12:51:20,006303-12072014,375***,165***,BANES,ABBEY,Person (land line),Special Service,NonResidential,Building > Non Residential > Retail > Shopping Centre,,,,,,,,,,,,,,,"Lift Release, For able bodied person not in distress",no,,yes,,0,0,0,7
12,July,2014,12:19:57,006302-12072014,359***,181***,S GLOS,ALMONDSBURY,Person (running call),Special Service,NonResidential,Building > Non Residential > Retail > Shopping Centre,,,,,,,,,,,,,,,"Medical Incident - First responder, Other",no,,yes,,0,0,1,0
12,July,2014,15:31:07,006305-12072014,366***,170***,S GLOS,BITTON,Police,Special Service,RoadVehicle,Road Vehicle > Multiple Vehicles,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,yes,,0,0,2,1
12,July,2014,15:44:38,006306-12072014,353***,177***,BRISTOL,AVONMOUTH,Person (land line),False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
12,July,2014,16:05:38,006308-12072014,358***,169***,BRISTOL,HARTCLIFFE,Police,False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Canal/riverbank vegetation",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,
12,July,2014,15:58:13,006307-12072014,361***,168***,BRISTOL,HENGROVE,Person (mobile),False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Malicious False Alarm > Activation of fire call point/alarm,no,,,,,
12,July,2014,16:18:03,006309-12072014,333***,159***,N SOM,WESTON-SUPER-MARE CLARENCE AND UPHILL,Person (land line),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Tree scrub (includes single trees not in garden)",no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
12,July,2014,16:46:33,006311-12072014,332***,160***,N SOM,WESTON-SUPER-MARE CLARENCE AND UPHILL,Ambulance,Special Service,OtherResidential,Building > Other Residential > Residential Home > Nursing/Care,,,,,,,,,,,,,,,"Effecting entry/exit, For medical case",no,,no,,,,,
12,July,2014,17:36:48,006313-12072014,354***,180***,BRISTOL,AVONMOUTH,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Warehouses and bulk storage > Warehouse,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
12,July,2014,17:50:36,006318-12072014,361***,175***,BRISTOL,LOCKLEAZE,Person (land line),Special Service,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"No action (not false alarm), Service not required",no,,no,,,,,
12,July,2014,17:46:00,006314-12072014,362***,173***,BRISTOL,ST GEORGE WEST,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor structures > Fence,no,Deliberate – others property,no,,,,,,,,,,,,,no,,no,,,,,
12,July,2014,18:24:28,006322-12072014,363***,174***,BRISTOL,ST GEORGE EAST,Ambulance,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make scene safe",yes,,no,,,,,
12,July,2014,18:43:59,006323-12072014,361***,180***,S GLOS,FILTON,Police,Special Service,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Assist other agencies, Other assistance to police/ambulance, Other",no,,no,,,,,
12,July,2014,18:58:57,006324-12072014,357***,169***,BRISTOL,HARTCLIFFE,Person (mobile),Special Service,Outdoor,"Outdoor > Grassland, woodland and crops > Woodland/forest - broadleaf/hardwood",,,,,,,,,,,,,,,"Animal assistance incidents, Rescue from height, Domestic e.g. Cat, Dog, Rodents, Horse, Bird, etc.",no,,no,,,,,
12,July,2014,19:05:35,006325-12072014,360***,175***,BRISTOL,BISHOPSTON,Person (mobile),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",no,Accidental,no,,,,,,,,,,,,,no,,no,,,,,
12,July,2014,19:08:43,006326-12072014,360***,169***,BRISTOL,HENGROVE,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Education > Infant/primary school,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Smoke Cloak,no,,,,,
12,July,2014,20:20:30,006332-12072014,346***,177***,N SOM,PORTISHEAD COAST,Person (land line),Fire,OutdoorStructure,Outdoor > Outdoor equipment and machinery > Barbeque,no,Accidental,no,,,,,,,,,,,,,no,,no,,,,,
12,July,2014,19:43:32,006328-12072014,360***,173***,BRISTOL,LAWRENCE HILL,Person (land line),Fire,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,yes,Accidental,no,yes,Yes - occupied,no,Person running call,"Accidental;  Overheating, unknown cause","Electricity supply ->  Apparatus – batteries, generators",Electric,"Foam, rubber, plastic -> Plastic – raw material only","Foam, rubber, plastic -> Plastic – raw material only",None,Small means -> Disconnection of fuel supply -> switched off,,no,,no,no,,,,
12,July,2014,21:44:16,006342-12072014,354***,178***,BRISTOL,KINGSWESTON,Person (mobile),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Grassland, pasture, grazing etc",no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
12,July,2014,21:40:28,006343-12072014,360***,172***,BRISTOL,WINDMILL HILL,Person (land line),Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
12,July,2014,21:33:50,006338-12072014,361***,180***,S GLOS,FILTON,Person (mobile),Fire,NonResidential,Building > Non Residential > Private Garden Shed,yes,Accidental,no,no,No - unoccupied permanently (vacant),no,Person running call,Accidental;  Combustible articles too close to heat source (or fire),Smoking Related -> Smoking materials ,Not applicable,Wood -> Garden shed,Wood -> Garden shed,None,,,no,,no,no,,,,
12,July,2014,21:04:54,006334-12072014,354***,170***,N SOM,WRAXHALL AND LONG ASHTON,Person (mobile),False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,
12,July,2014,22:03:48,006344-12072014,360***,176***,BRISTOL,BISHOPSTON,Person (mobile),False Alarm,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > Up to 2 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
12,July,2014,22:31:35,006345-12072014,354***,178***,BRISTOL,KINGSWESTON,Person (land line),False Alarm,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
12,July,2014,22:36:19,006346-12072014,332***,160***,N SOM,WESTON-SUPER-MARE CLARENCE AND UPHILL,Person (mobile),False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
12,July,2014,23:04:10,006347-12072014,375***,166***,BANES,LANSDOWN,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,
